code,name,type,normal_side,is_control,control_subledger,role
1010,Bank - Main,asset,debit,false,,bank_main
1020,Bank - Clearing,asset,debit,false,,bank_clearing
1025,Cheques in Clearing,asset,debit,false,,cheques_in_clearing
1030,Cash in Hand,asset,debit,false,,
1100,Premium Receivable,asset,debit,true,premium,premium_receivable
1150,Agent Collections Receivable,asset,debit,true,agent,agent_receivable
1160,Producer Advances,asset,debit,false,,producer_advances
1200,Recovery Receivable,asset,debit,false,,recovery_receivable
1300,Advance Income Tax,asset,debit,false,,
1410,Reinsurers' Share of Unearned Premium,asset,debit,false,,ri_unearned_premium
1420,Reinsurers' Share of Outstanding Claims,asset,debit,false,,ri_outstanding_claims
1430,Reinsurance Claims Recoverable,asset,debit,false,,ri_claims_recoverable
1310,Input VAT Receivable,asset,debit,false,,input_vat_receivable
1600,Fixed Assets at Cost,asset,debit,false,,fixed_asset_cost
1690,Accumulated Depreciation,asset,credit,false,,accumulated_depreciation
2010,Suspense - Unallocated Receipts,liability,credit,true,suspense,suspense_receipts
2100,Unearned Premium Reserve,liability,credit,false,,unearned_premium
2150,Premium Tax Payable (VAT),liability,credit,false,,premium_tax_payable
2155,Stamp Duty Payable,liability,credit,false,,stamp_duty_payable
2160,Customer Refunds Payable,liability,credit,false,,customer_refund_payable
2200,Outstanding Claims Reserve,liability,credit,true,claims,claims_outstanding
2210,Claims Payable,liability,credit,true,claims,claims_payable
2300,Commission Payable,liability,credit,true,commission,commission_payable
2310,Withholding Tax on Commission,liability,credit,false,,commission_withholding_payable
2400,Salaries Payable,liability,credit,false,,salary_payable
2410,Employee Tax Payable,liability,credit,false,,employee_tax_payable
2420,Provident Fund Payable,liability,credit,false,,pf_payable
2500,Accounts Payable,liability,credit,false,,accounts_payable
2610,Due to Reinsurers,liability,credit,false,,ri_payable
2510,VAT Deducted at Source Payable,liability,credit,false,,vat_deducted_at_source_payable
2520,Tax Deducted at Source from Suppliers,liability,credit,false,,supplier_tax_withheld_payable
3000,Share Capital,equity,credit,false,,
3100,Retained Earnings,equity,credit,false,,retained_earnings
4100,Premium Income,income,credit,false,,premium_income
4200,Claims Recovery Income,income,credit,false,,claims_recovery_income
4310,Reinsurance Commission Income,income,credit,false,,ri_commission_income
4800,Gain/Loss on Disposal of Assets,income,credit,false,,asset_disposal_gain_loss
4900,FX Gain/Loss,income,credit,false,,fx_gain_loss
5100,Claims Incurred,expense,debit,false,,claims_expense
5200,Commission Expense,expense,debit,false,,commission_expense
5300,Salaries,expense,debit,false,,salary_expense
5310,Employer PF Contribution,expense,debit,false,,employer_pf_expense
5400,Office Rent,expense,debit,false,,
5450,Premium Written Off,expense,debit,false,,premium_written_off
5410,Reinsurance Premium Ceded,expense,debit,false,,ri_premium_ceded
5500,Printing and Stationery,expense,debit,false,,
5600,Bank Charges,expense,debit,false,,bank_charges
5700,General and Administrative Expenses,expense,debit,false,,ap_expense
5710,Depreciation,expense,debit,false,,depreciation_expense
5900,Rounding Differences,expense,debit,false,,rounding_difference
